question,choice1,choice2,choice3,choice4,answer
ばく,中国,韓国,インド,ベトナム,中国
瀬戸大将,愛知,高知,山梨,熊本,愛知
さがり,岡山,香川,沖縄,長崎,岡山
すねこすり,岡山,徳島,福島,宮城,岡山
キジムナー,沖縄,大分,奈良,三重,沖縄
二口女,下総,上総,常総,南総,下総
濡れ女,新潟,奈良,宮城,高知,新潟
濡れ女,福島,埼玉,鹿児島,岩手,福島
つるべおとし,京都,富山,沖縄,徳島,京都
家鳴り,京都,埼玉,鹿児島,岩手,京都
竹切狸,京都,滋賀,福井,佐賀,京都
竹切狸,静岡,鹿児島,埼玉,長野,静岡
竹切狸,鳥取,山口,秋田,愛媛,鳥取
天井なめ,群馬,鹿児島,埼玉,長野,群馬
山爺,高知,石川,沖縄,岡山,高知
袖引小僧,埼玉,群馬,北海道,熊本,埼玉
カシャボ,和歌山,山口,秋田,愛媛,和歌山
,三重,鹿児島,静岡,熊本,三重
蟹坊主,山梨,鹿児島,静岡,熊本,山梨
一反木綿,鹿児島,三重,栃木,山形,鹿児島
ガラッパ,鹿児島,山梨,高知,石川,鹿児島
豆腐小僧,鹿児島,群馬,埼玉,石川,鹿児島
呼子,島根,高知,佐賀,茨城,島根
猫又,新潟,青森,埼玉,京都,新潟
雷獣,新潟,長崎,和歌山,千葉,新潟
雷獣,長野,長崎,和歌山,千葉,長野
枕返し,静岡,福井,沖縄,長野,静岡
傘化け,鳥取,三重,奈良,佐賀,鳥取
かみきり,東京,和歌山,兵庫,北海道,東京
小豆はかり,東京,奈良,福島,沖縄,東京
朱の盤,福島,和歌山,山形,香川,福島
ろくろくび,福島,高知,鹿児島,岐阜,福島
砂かけ婆,奈良,沖縄,山形,佐賀,奈良
砂かけ婆,兵庫,高知,鹿児島,岐阜,兵庫
コロポックル,北海道,東京,長野,熊本,北海道